WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE,Date
999,3.6,4.1,99.0,99.0,99.0,999,9999.0,20.6,999.0,999.0,99.0,99.0,2020/03/17 2200
999,3.6,4.1,99.0,99.0,99.0,999,9999.0,20.6,999.0,999.0,99.0,99.0,2020/03/17 2300
999,4.6,5.1,99.0,99.0,99.0,999,9999.0,20.5,999.0,999.0,99.0,99.0,2020/03/18 0000
999,4.6,5.7,99.0,99.0,99.0,999,9999.0,20.4,999.0,999.0,99.0,99.0,2020/03/18 0100
999,5.1,5.7,99.0,99.0,99.0,999,9999.0,20.5,999.0,999.0,99.0,99.0,2020/03/18 0200
999,6.2,6.7,99.0,99.0,99.0,999,9999.0,20.5,999.0,999.0,99.0,99.0,2020/03/18 0300
999,6.2,6.7,99.0,99.0,99.0,999,9999.0,20.4,999.0,999.0,99.0,99.0,2020/03/18 0400
999,5.1,6.2,99.0,99.0,99.0,999,9999.0,20.4,999.0,999.0,99.0,99.0,2020/03/18 0500
999,4.1,4.6,99.0,99.0,99.0,999,9999.0,20.3,999.0,999.0,99.0,99.0,2020/03/18 0600
999,5.7,6.7,99.0,99.0,99.0,999,9999.0,20.1,999.0,999.0,99.0,99.0,2020/03/18 0700
999,4.6,5.1,99.0,99.0,99.0,999,9999.0,19.9,999.0,999.0,99.0,99.0,2020/03/18 0800
999,2.1,3.6,99.0,99.0,99.0,999,9999.0,20.3,999.0,999.0,99.0,99.0,2020/03/18 0900
999,3.6,5.1,99.0,99.0,99.0,999,9999.0,20.8,999.0,999.0,99.0,99.0,2020/03/18 1000
999,4.1,4.6,99.0,99.0,99.0,999,9999.0,20.3,999.0,999.0,99.0,99.0,2020/03/18 1100
999,3.6,3.6,99.0,99.0,99.0,999,9999.0,20.3,999.0,999.0,99.0,99.0,2020/03/18 1200
999,4.1,4.6,99.0,99.0,99.0,999,9999.0,20.0,999.0,999.0,99.0,99.0,2020/03/18 1300
999,3.6,3.6,99.0,99.0,99.0,999,9999.0,20.2,999.0,999.0,99.0,99.0,2020/03/18 1400
999,4.6,5.1,99.0,99.0,99.0,999,9999.0,20.7,999.0,999.0,99.0,99.0,2020/03/18 1500
999,4.1,4.6,99.0,99.0,99.0,999,9999.0,20.9,999.0,999.0,99.0,99.0,2020/03/18 1600
999,5.1,5.7,99.0,99.0,99.0,999,9999.0,20.9,999.0,999.0,99.0,99.0,2020/03/18 1700
999,5.1,6.2,99.0,99.0,99.0,999,9999.0,21.0,999.0,999.0,99.0,99.0,2020/03/18 1800
999,5.7,6.7,99.0,99.0,99.0,999,9999.0,21.2,999.0,999.0,99.0,99.0,2020/03/18 1900
999,4.6,5.7,99.0,99.0,99.0,999,9999.0,21.4,999.0,999.0,99.0,99.0,2020/03/18 2000
999,5.7,6.2,99.0,99.0,99.0,999,9999.0,21.4,999.0,999.0,99.0,99.0,2020/03/18 2100
999,4.6,5.7,99.0,99.0,99.0,999,9999.0,21.4,999.0,999.0,99.0,99.0,2020/03/18 2200
999,5.7,5.7,99.0,99.0,99.0,999,9999.0,21.2,999.0,999.0,99.0,99.0,2020/03/18 2300
999,6.2,7.2,99.0,99.0,99.0,999,9999.0,21.1,999.0,999.0,99.0,99.0,2020/03/19 0000
999,6.2,7.7,99.0,99.0,99.0,999,9999.0,21.0,999.0,999.0,99.0,99.0,2020/03/19 0100
999,6.7,7.7,99.0,99.0,99.0,999,9999.0,20.8,999.0,999.0,99.0,99.0,2020/03/19 0200
999,6.7,7.7,99.0,99.0,99.0,999,9999.0,20.6,999.0,999.0,99.0,99.0,2020/03/19 0300
999,7.7,9.3,99.0,99.0,99.0,999,9999.0,20.8,999.0,999.0,99.0,99.0,2020/03/19 0400
999,7.2,8.8,99.0,99.0,99.0,999,9999.0,20.6,999.0,999.0,99.0,99.0,2020/03/19 0500
999,7.7,8.8,99.0,99.0,99.0,999,9999.0,20.5,999.0,999.0,99.0,99.0,2020/03/19 0600
999,7.7,8.8,99.0,99.0,99.0,999,9999.0,20.5,999.0,999.0,99.0,99.0,2020/03/19 0700
999,7.7,9.3,99.0,99.0,99.0,999,9999.0,20.6,999.0,999.0,99.0,99.0,2020/03/19 0800
999,7.7,8.8,99.0,99.0,99.0,999,9999.0,20.6,999.0,999.0,99.0,99.0,2020/03/19 0900
999,8.2,9.8,99.0,99.0,99.0,999,9999.0,20.7,999.0,999.0,99.0,99.0,2020/03/19 1000
999,7.7,8.8,99.0,99.0,99.0,999,9999.0,20.5,999.0,999.0,99.0,99.0,2020/03/19 1100
999,7.2,8.8,99.0,99.0,99.0,999,9999.0,20.2,999.0,999.0,99.0,99.0,2020/03/19 1200
999,7.2,8.2,99.0,99.0,99.0,999,9999.0,19.5,999.0,999.0,99.0,99.0,2020/03/19 1300
999,7.2,7.7,99.0,99.0,99.0,999,9999.0,15.8,999.0,999.0,99.0,99.0,2020/03/19 1400
999,6.7,7.7,99.0,99.0,99.0,999,9999.0,14.6,999.0,999.0,99.0,99.0,2020/03/19 1500
999,6.2,7.2,99.0,99.0,99.0,999,9999.0,15.2,999.0,999.0,99.0,99.0,2020/03/19 1600
999,5.1,6.2,99.0,99.0,99.0,999,9999.0,19.8,999.0,999.0,99.0,99.0,2020/03/19 1700
999,5.7,6.7,99.0,99.0,99.0,999,9999.0,22.0,999.0,999.0,99.0,99.0,2020/03/19 1800
999,5.7,6.7,99.0,99.0,99.0,999,9999.0,22.3,999.0,999.0,99.0,99.0,2020/03/19 1900
999,6.2,7.2,99.0,99.0,99.0,999,9999.0,22.4,999.0,999.0,99.0,99.0,2020/03/19 2000
999,6.7,7.7,99.0,99.0,99.0,999,9999.0,22.6,999.0,999.0,99.0,99.0,2020/03/19 2100
999,7.2,8.8,99.0,99.0,99.0,999,9999.0,22.7,999.0,999.0,99.0,99.0,2020/03/19 2200
999,7.2,8.2,99.0,99.0,99.0,999,9999.0,22.7,999.0,999.0,99.0,99.0,2020/03/19 2300
999,7.2,8.8,99.0,99.0,99.0,999,9999.0,22.5,999.0,999.0,99.0,99.0,2020/03/20 0000
999,7.2,8.2,99.0,99.0,99.0,999,9999.0,22.4,999.0,999.0,99.0,99.0,2020/03/20 0100
999,7.7,8.2,99.0,99.0,99.0,999,9999.0,22.3,999.0,999.0,99.0,99.0,2020/03/20 0200
999,8.8,9.8,99.0,99.0,99.0,999,9999.0,22.3,999.0,999.0,99.0,99.0,2020/03/20 0300
999,7.7,8.8,99.0,99.0,99.0,999,9999.0,22.1,999.0,999.0,99.0,99.0,2020/03/20 0400
999,7.2,8.2,99.0,99.0,99.0,999,9999.0,22.1,999.0,999.0,99.0,99.0,2020/03/20 0500
999,7.2,7.7,99.0,99.0,99.0,999,9999.0,22.2,999.0,999.0,99.0,99.0,2020/03/20 0600
