Row ID,Battery Life,Beach Name,Component_0,Component_1,Component_2,Measurement Timestamp,Turbidity,UMAP-0,UMAP-1,Water Temperature,Wave Height,Wave Period
194,0,0,-16.0593,-4.31509,8.78189,1403272800,0,16.5958,1.23511,0,0,-1
195,0,0,-15.6585,-4.31341,8.85742,1403276400,0,-2.42113,18.8966,0,0,-1
196,0,0,-15.1878,-4.32416,8.96984,1403280000,0,-2.62247,-11.753,0,0,0
197,0,0,-14.636,-4.34875,9.13525,1403283600,0,16.8609,-0.779505,0,0,-1
198,0,0,-14.0806,-4.38664,9.34773,1403287200,0,2.35542,-5.46156,0,0,-1
199,0,0,-13.5315,-4.43661,9.60923,1403290800,0,-1.59453,19.2182,0,1,-1
200,0,0,-13.004,-4.49607,9.91282,1403294400,0,18.2587,3.1884,0,1,-1
201,0,0,-12.506,-4.56394,10.2522,1403298000,0,-4.99784,-7.48452,0,1,0
202,0,0,-12.0411,-4.63964,10.5955,1403301600,0,-1.189,-7.83799,0,1,-1
203,0,0,-11.579,-4.72389,10.9773,1403305200,0,7.61604,4.34092,0,1,-1
204,0,0,-11.125,-4.81528,11.3615,1403308800,0,-0.940047,-8.33883,0,1,-1
205,0,0,-10.6825,-4.90388,11.7538,1403312400,0,5.61674,3.92286,0,1,-1
206,0,0,-10.2409,-4.99682,12.1441,1403316000,0,5.43289,17.2993,-1,1,-1
207,0,0,-9.80851,-5.09741,12.5503,1403319600,0,16.6447,9.82053,-1,1,-1
208,0,0,-9.36607,-5.20619,12.9498,1403323200,0,15.1208,-5.61783,-1,1,-1
209,0,0,-8.92054,-5.32346,13.3321,1403326800,0,3.31786,-11.3708,-1,1,-1
210,0,0,-8.46946,-5.45111,13.7089,1403330400,0,17.0078,10.2448,-1,0,-1
211,0,0,-8.01576,-5.60263,14.068,1403334000,0,0.124943,-12.0981,-1,0,0
212,0,0,-7.56625,-5.78794,14.42,1403337600,0,9.24324,-9.56266,-1,0,-1
213,0,0,-7.11572,-6.00086,14.7477,1403341200,0,14.805,1.76327,-1,0,0
214,0,0,-6.66323,-6.24592,15.0556,1403344800,0,-6.83653,-1.64238,0,0,-1
215,0,0,-6.20873,-6.51925,15.3353,1403348400,0,14.6096,14.9668,-1,0,-1
216,0,0,-5.75217,-6.81727,15.5811,1403352000,0,-2.11801,-11.3086,0,0,-1
217,0,0,-5.30196,-7.14842,15.8025,1403355600,0,-7.22183,11.8794,0,0,-1
218,0,0,-4.84995,-7.50293,15.9961,1403359200,0,9.41829,-6.85194,0,0,-1
219,0,0,-4.41504,-7.86576,16.1621,1403362800,0,9.53701,1.41501,0,0,0
220,0,0,-4.01871,-8.21447,16.2991,1403366400,0,8.42004,17.1958,0,0,-1
221,0,0,-3.69744,-8.50062,16.4022,1403370000,0,-0.333673,-7.97801,0,0,-1
222,0,0,-3.39653,-8.77105,16.4931,1403373600,0,-4.50098,-5.99505,0,0,-1
223,0,0,-2.35061,-9.70297,16.7906,1403380800,0,10.1399,-8.91796,0,0,-1
224,0,0,-2.0428,-9.95113,16.889,1403384400,0,9.36503,1.93991,0,1,-1
225,0,0,-1.68275,-10.206,17.0134,1403388000,0,9.44899,-12.2711,0,1,-1
226,0,0,-1.22776,-10.4905,17.1794,1403391600,0,16.0565,12.7983,0,0,-1
227,0,0,-0.731442,-10.7573,17.3723,1403395200,0,15.3598,-0.500924,0,0,-1
228,0,0,-0.217733,-10.9837,17.5802,1403398800,0,-10.7945,-3.02287,0,0,2
229,0,0,0.322123,-11.1692,17.8057,1403402400,0,13.9958,-10.0577,0,0,1
230,0,0,0.869953,-11.2982,18.0343,1403406000,0,8.24198,8.1025,0,0,0
231,0,0,1.41991,-11.3688,18.2587,1403409600,0,9.55046,-5.52247,0,0,0
232,0,0,1.97609,-11.3849,18.4773,1403413200,0,-5.99696,16.1685,0,0,-1
233,0,0,2.54868,-11.3562,18.6911,1403416800,0,2.26302,10.5945,0,0,-1
234,0,0,3.1245,-11.2962,18.8945,1403420400,0,6.25673,18.5177,0,0,-1
235,0,0,3.6942,-11.2213,19.085,1403424000,0,10.6141,8.10263,0,0,-1
236,0,0,4.27268,-11.144,19.2664,1403427600,0,-1.83382,-10.3395,0,0,-1
237,0,0,4.84576,-11.081,19.4349,1403431200,0,9.74585,-2.33968,0,-1,0
238,0,0,5.43945,-11.0412,19.5977,1403434800,0,0.429706,-10.2461,0,-1,0
239,0,0,6.03608,-11.0364,19.7532,1403438400,0,7.49028,16.7936,0,0,-1
240,0,0,6.63304,-11.0753,19.9013,1403442000,0,11.6443,-5.9831,0,1,-1
241,0,0,7.22579,-11.1652,20.0417,1403445600,0,-12.2936,0.902562,0,1,-1
242,0,0,7.79185,-11.3063,20.1704,1403449200,0,8.9143,17.3652,0,1,-1
243,0,0,8.34658,-11.5124,20.2916,1403452800,0,1.92173,-7.13834,0,1,-1
244,0,0,8.88592,-11.787,20.4048,1403456400,0,-9.18299,-6.82001,0,0,-1
245,0,0,9.38081,-12.124,20.5078,1403460000,0,-2.00845,5.47223,0,0,-1
246,0,0,9.82909,-12.5254,20.6029,1403463600,0,-7.9535,15.7682,0,0,-1
247,0,0,10.2207,-12.9846,20.6924,1403467200,0,-1.08088,19.379,0,0,1
248,0,0,10.5431,-13.4925,20.7811,1403470800,0,-6.52132,16.2212,0,0,0
249,0,0,10.7866,-14.0242,20.8679,1403474400,0,11.7502,15.3556,0,0,-1
250,0,0,10.9758,-14.6058,20.9601,1403478000,0,-4.82682,9.53817,0,0,-1
251,0,0,11.0987,-15.2025,21.0545,1403481600,0,-9.45226,8.25459,0,0,-1
252,0,0,11.1597,-15.8067,21.1527,1403485200,0,-4.72765,9.38091,0,0,-1
253,0,0,11.1639,-16.413,21.2544,1403488800,0,9.96287,16.227,0,0,1
254,0,0,11.1095,-17.0118,21.3566,1403492400,0,-14.5082,1.79235,0,0,1
255,0,0,10.9976,-17.5811,21.4528,1403496000,0,2.73166,18.0719,0,0,-1
256,0,0,10.833,-18.132,21.5472,1403499600,0,-10.1294,14.59,0,0,-1
257,0,0,10.6013,-18.6966,21.6393,1403503200,0,13.0435,9.27785,0,0,-1
258,0,0,10.3236,-19.2354,21.7292,1403506800,0,10.2969,-6.92783,0,0,-1
259,0,0,10.01,-19.7222,21.8099,1403510400,0,10.4091,-8.65336,0,0,-1
260,0,0,9.64204,-20.1893,21.8852,1403514000,0,12.0244,3.12827,0,0,-1
261,0,0,9.21593,-20.6373,21.9574,1403517600,0,-7.14161,-8.36026,0,0,-1
262,0,0,8.75973,-21.0312,22.0205,1403521200,0,7.52922,-10.5755,0,-1,-1
263,0,0,8.25056,-21.3864,22.0753,1403524800,0,-0.857214,-7.20866,0,-1,1
264,0,0,7.72673,-21.6768,22.1179,1403528400,0,-6.94996,15.6195,0,-1,-1
265,0,0,7.20581,-21.9014,22.1476,1403532000,0,4.29436,-11.2761,0,-1,-1
266,0,0,6.76128,-22.0417,22.1614,1403535600,0,12.7955,0.781198,0,-1,0
267,0,0,6.35708,-22.1178,22.1613,1403539200,0,-5.25039,17.0535,0,-1,0
268,0,0,5.28633,-22.1716,22.122,1403546400,0,0.311451,-6.60844,0,-1,3
269,0,0,4.21336,-22.0949,22.0406,1403553600,0,6.9937,1.08962,0,0,1
270,0,0,3.81765,-22.0193,21.9923,1403557200,0,-10.6618,10.6439,0,0,0
271,0,0,3.3794,-21.8836,21.9177,1403560800,0,-8.61024,3.33643,0,-1,1
272,0,0,2.8651,-21.671,21.8073,1403564400,0,-0.399055,-10.4094,0,-1,1
273,0,0,2.33961,-21.3966,21.6679,1403568000,0,15.9227,0.962696,0,-1,0
274,0,0,1.83454,-21.0788,21.5078,1403571600,0,-7.03607,16.3288,0,-1,2
275,0,0,1.37547,-20.7419,21.3365,1403575200,0,9.47177,7.59379,0,-1,2
276,0,0,0.93443,-20.3767,21.1455,1403578800,0,-5.05139,-12.2474,0,-1,1
277,0,0,0.519052,-20.0044,20.9457,1403582400,0,-9.68087,-8.63748,0,-1,1
278,0,0,0.109059,-19.6131,20.724,1403586000,0,14.1379,16.0059,0,-1,0
279,0,0,-0.28324,-19.2355,20.4969,1403589600,0,17.2988,-4.36354,0,-1,-1
280,0,0,-0.685941,-18.8524,20.2498,1403593200,0,12.4617,-10.9446,0,-1,-1
